# x psi_r psi_i psi2 
 1.281281e-01  4.839253e-11 -1.952771e-12 2.345651e-21
 1.291291e-01 -4.904573e-11  1.439515e-12 2.407555e-21
 1.301301e-01  4.879303e-11 -2.195202e-12 2.385578e-21
 1.311311e-01 -4.916707e-11  1.213904e-12 2.418875e-21
 1.321321e-01  4.925399e-11 -2.362513e-12 2.431537e-21
 1.331331e-01 -4.928244e-11  1.208117e-12 2.430218e-21
 1.341341e-01  4.981954e-11 -2.364164e-12 2.487576e-21
 1.351351e-01 -4.937278e-11  1.301223e-12 2.439365e-21
 1.361361e-01  5.030285e-11 -2.206499e-12 2.535245e-21
 1.371371e-01 -4.958473e-11  1.481509e-12 2.460840e-21
 1.381381e-01  5.069367e-11 -2.001649e-12 2.573855e-21
 1.391391e-01 -4.989148e-11  1.747352e-12 2.492213e-21
 1.401401e-01  5.105288e-11 -1.812633e-12 2.609683e-21
 1.411411e-01 -5.025297e-11  1.912165e-12 2.529017e-21
 1.421421e-01  5.134954e-11 -1.709938e-12 2.639699e-21
 1.431431e-01 -5.054832e-11  1.913747e-12 2.558795e-21
 1.441441e-01  5.187772e-11 -1.883660e-12 2.694846e-21
 1.451451e-01 -5.051762e-11  1.713740e-12 2.554967e-21
 1.461461e-01  5.284581e-11 -2.167586e-12 2.797378e-21
 1.471471e-01 -4.996667e-11  1.471670e-12 2.498834e-21
 1.481481e-01  5.446119e-11 -2.336326e-12 2.971479e-21
 1.491491e-01 -4.866563e-11  1.537076e-12 2.370706e-21
 1.501502e-01  5.699261e-11 -1.951189e-12 3.251964e-21
 1.511512e-01 -4.643300e-11  2.473077e-12 2.162139e-21
 1.521522e-01  6.047367e-11 -2.632339e-13 3.657134e-21
 1.531532e-01 -4.322004e-11  5.291878e-12 1.895976e-21
 1.541542e-01  6.485368e-11  3.930467e-12 4.221448e-21
 1.551552e-01 -3.933512e-11  1.129349e-11 1.674795e-21
 1.561562e-01  6.950496e-11  1.216405e-11 4.978903e-21
 1.571572e-01 -3.583572e-11  2.234737e-11 1.783604e-21
 1.581582e-01  7.297513e-11  2.663240e-11 6.034654e-21
 1.591592e-01 -3.483563e-11  4.094389e-11 2.889923e-21
 1.601602e-01  7.208073e-11  4.997780e-11 7.693412e-21
 1.611612e-01 -4.063549e-11  6.983036e-11 6.527523e-21
 1.621622e-01  6.108025e-11  8.501072e-11 1.095762e-20
 1.631632e-01 -6.099886e-11  1.115465e-10 1.616349e-20
 1.641642e-01  2.997695e-11  1.334154e-10 1.869828e-20
 1.651652e-01 -1.085615e-10  1.664545e-10 3.949272e-20
 1.661662e-01 -3.708867e-11  1.936530e-10 3.887707e-20
 1.671672e-01 -2.026859e-10  2.298352e-10 9.390576e-20
 1.681682e-01 -1.631619e-10  2.563726e-10 9.234875e-20
 1.691692e-01 -3.700316e-10  2.861422e-10 2.188007e-19
 1.701702e-01 -3.783154e-10  2.976887e-10 2.317411e-19
 1.711712e-01 -6.435472e-10  3.005268e-10 5.044693e-19
 1.721722e-01 -7.167970e-10  2.689072e-10 5.861091e-19
 1.731732e-01 -1.056307e-09  2.071226e-10 1.158684e-18
 1.741742e-01 -1.207172e-09  8.303053e-11 1.464159e-18
 1.751752e-01 -1.627517e-09 -1.059390e-10 2.660035e-18
 1.761762e-01 -1.852457e-09 -4.001374e-10 3.591707e-18
 1.771772e-01 -2.335053e-09 -8.105982e-10 6.109543e-18
 1.781782e-01 -2.593809e-09 -1.386470e-09 8.650147e-18
 1.791792e-01 -3.068851e-09 -2.146834e-09 1.402674e-17
 1.801802e-01 -3.252457e-09 -3.147780e-09 2.048700e-17
 1.811812e-01 -3.560630e-09 -4.411941e-09 3.214331e-17
 1.821822e-01 -3.446534e-09 -5.994787e-09 4.781607e-17
 1.831832e-01 -3.288209e-09 -7.910900e-09 7.339466e-17
 1.841842e-01 -2.485156e-09 -1.019820e-08 1.101793e-16
 1.851852e-01 -1.363382e-09 -1.284012e-08 1.667274e-16
 1.861862e-01  7.436636e-10 -1.582597e-08 2.510144e-16
 1.871872e-01  3.570340e-09 -1.906816e-08 3.763419e-16
 1.881882e-01  7.851640e-09 -2.245807e-08 5.660133e-16
 1.891892e-01  1.337475e-08 -2.577710e-08 8.433428e-16
 1.901902e-01  2.092192e-08 -2.874823e-08 1.264187e-15
 1.911912e-01  3.029288e-08 -3.094156e-08 1.875039e-15
 1.921922e-01  4.225282e-08 -3.182401e-08 2.798068e-15
 1.931932e-01  5.651872e-08 -3.066304e-08 4.134588e-15
 1.941942e-01  7.370556e-08 -2.657975e-08 6.138992e-15
 1.951952e-01  9.327007e-08 -1.845986e-08 9.040073e-15
 1.961962e-01  1.154488e-07 -5.021514e-09 1.335364e-14
 1.971972e-01  1.391540e-07  1.525144e-08 1.959645e-14
 1.981982e-01  1.639019e-07  4.400769e-08 2.880051e-14
 1.991992e-01  1.876611e-07  8.304976e-08 4.211396e-14
 2.002002e-01  2.087782e-07  1.341713e-07 6.159026e-14
 2.012012e-01  2.237925e-07  1.991021e-07 8.972474e-14
 2.022022e-01  2.293829e-07  2.792513e-07 1.305978e-13
 2.032032e-01  2.201834e-07  3.755426e-07 1.895130e-13
 2.042042e-01  1.908007e-07  4.880306e-07 2.745788e-13
 2.052052e-01  1.336955e-07  6.156000e-07 3.968379e-13
 2.062062e-01  4.135446e-08  7.554387e-07 5.723978e-13
 2.072072e-01 -9.566259e-08  9.026003e-07 8.238386e-13
 2.082082e-01 -2.862766e-07  1.049356e-06 1.183102e-12
 2.092092e-01 -5.405416e-07  1.184673e-06 1.695636e-12
 2.102102e-01 -8.667785e-07  1.293544e-06 2.424560e-12
 2.112112e-01 -1.272779e-06  1.356520e-06 3.460112e-12
 2.122122e-01 -1.762377e-06  1.349218e-06 4.926361e-12
 2.132132e-01 -2.336086e-06  1.242189e-06 7.000331e-12
 2.142142e-01 -2.987038e-06  1.000935e-06 9.924266e-12
 2.152152e-01 -3.701042e-06  5.865323e-07 1.404173e-11
 2.162162e-01 -4.451979e-06 -4.335039e-08 1.982200e-11
 2.172172e-01 -5.201509e-06 -9.325355e-07 2.792532e-11
 2.182182e-01 -5.894296e-06 -2.123724e-06 3.925293e-11
 2.192192e-01 -6.457950e-06 -3.654705e-06 5.506199e-11
 2.202202e-01 -6.798901e-06 -5.553604e-06 7.706758e-11
 2.212212e-01 -6.803650e-06 -7.832781e-06 1.076421e-10
 2.222222e-01 -6.336636e-06 -1.048170e-05 1.500189e-10
 2.232232e-01 -5.244418e-06 -1.345853e-05 2.086360e-10
 2.242242e-01 -3.357404e-06 -1.668109e-05 2.895311e-10
 2.252252e-01 -4.990018e-07 -2.001711e-05 4.009339e-10
 2.262262e-01  3.506658e-06 -2.327478e-05 5.540121e-10
 2.272272e-01  8.818526e-06 -2.619403e-05 7.638934e-10
 2.282282e-01  1.556311e-05 -2.843990e-05 1.051038e-09
 2.292292e-01  2.380989e-05 -2.959895e-05 1.443009e-09
 2.302302e-01  3.354753e-05 -2.918048e-05 1.976937e-09
 2.312312e-01  4.465158e-05 -2.662392e-05 2.702596e-09
 2.322322e-01  5.685449e-05 -2.131456e-05 3.686743e-09
 2.332332e-01  6.970984e-05 -1.260894e-05 5.018447e-09
 2.342342e-01  8.256267e-05  1.279735e-07 6.816610e-09
 2.352352e-01  9.451917e-05  1.747292e-05 9.239176e-09
 2.362362e-01  1.044294e-04  3.988070e-05 1.249596e-08
 2.372372e-01  1.108772e-04  6.760711e-05 1.686448e-08
 2.382382e-01  1.121931e-04  1.006193e-04 2.271155e-08
 2.392392e-01  1.064846e-04  1.384965e-04 3.052025e-08
 2.402402e-01  9.169969e-05  1.803252e-04 4.092601e-08
 2.412412e-01  6.571980e-05  2.245949e-04 5.476197e-08
 2.422422e-01  2.649455e-05  2.691034e-04 7.311861e-08
 2.432432e-01 -2.778760e-05  3.108815e-04 9.741945e-08
 2.442442e-01 -9.848274e-05  3.461499e-04 1.295186e-07
 2.452452e-01 -1.862422e-04  3.703235e-04 1.718256e-07
 2.462462e-01 -2.907266e-04  3.780765e-04 2.274638e-07
 2.472472e-01 -4.103056e-04  3.634868e-04 3.004733e-07
 2.482482e-01 -5.417497e-04  3.202714e-04 3.960664e-07
 2.492492e-01 -6.799474e-04  2.421274e-04 5.209542e-07
 2.502503e-01 -8.176668e-04  1.231848e-04 6.837535e-07
 2.512513e-01 -9.454049e-04 -4.142768e-05 8.955068e-07
 2.522523e-01 -1.051355e-03 -2.549098e-04 1.170326e-06
 2.532533e-01 -1.121541e-03 -5.180303e-04 1.526209e-06
 2.542543e-01 -1.140153e-03 -8.283106e-04 1.986048e-06
 2.552553e-01 -1.090134e-03 -1.179198e-03 2.578901e-06
 2.562563e-01 -9.540289e-04 -1.559289e-03 3.341553e-06
 2.572573e-01 -7.151350e-04 -1.951680e-03 4.320471e-06
 2.582583e-01 -3.589429e-04 -2.333530e-03 5.574203e-06
 2.592593e-01  1.251517e-04 -2.675945e-03 7.176345e-06
 2.602603e-01  7.419204e-04 -2.944273e-03 9.219191e-06
 2.612613e-01  1.488234e-03 -3.098928e-03 1.181820e-05
 2.622623e-01  2.350989e-03 -3.096821e-03 1.511745e-05
 2.632633e-01  3.305165e-03 -2.893479e-03 1.929634e-05
 2.642643e-01  4.312232e-03 -2.445872e-03 2.457763e-05
 2.652653e-01  5.319102e-03 -1.715954e-03 3.123735e-05
 2.662663e-01  6.257893e-03 -6.748232e-04 3.961661e-05
 2.672673e-01  7.046717e-03  6.926225e-04 5.013595e-05
 2.682683e-01  7.591771e-03  2.382774e-03 6.331260e-05
 2.692693e-01  7.790877e-03  4.368447e-03 7.978109e-05
 2.702703e-01  7.538641e-03  6.594457e-03 1.003180e-04
 2.712713e-01  6.733247e-03  8.974108e-03 1.258712e-04
 2.722723e-01  5.284817e-03  1.138710e-02 1.575952e-04
 2.732733e-01  3.125099e-03  1.367940e-02 1.968923e-04
 2.742743e-01  2.180833e-04  1.566569e-02 2.454614e-04
 2.752753e-01 -3.429029e-03  1.713470e-02 3.053561e-04
 2.762763e-01 -7.755279e-03  1.785799e-02 3.790521e-04
 2.772773e-01 -1.263676e-02  1.760224e-02 4.695266e-04
 2.782783e-01 -1.787982e-02  1.614505e-02 5.803505e-04
 2.792793e-01 -2.321789e-02  1.329384e-02 7.157964e-04
 2.802803e-01 -2.831294e-02  8.907318e-03 8.809628e-04
 2.812813e-01 -3.276282e-02  2.918272e-03 1.081918e-03
 2.822823e-01 -3.611516e-02 -4.643647e-03 1.325868e-03
 2.832833e-01 -3.788854e-02 -1.363096e-02 1.621344e-03
 2.842843e-01 -3.760081e-02 -2.376134e-02 1.978423e-03
 2.852853e-01 -3.480436e-02 -3.460677e-02 2.408972e-03
 2.862863e-01 -2.912686e-02 -4.559126e-02 2.926937e-03
 2.872873e-01 -2.031591e-02 -5.599929e-02 3.548656e-03
 2.882883e-01 -8.284651e-03 -6.499682e-02 4.293223e-03
 2.892893e-01  6.844693e-03 -7.166616e-02 5.182888e-03
 2.902903e-01  2.470359e-02 -7.505496e-02 6.243515e-03
 2.912913e-01  4.465042e-02 -7.423895e-02 7.505082e-03
 2.922923e-01  6.575870e-02 -6.839615e-02 9.002240e-03
 2.932933e-01  8.682462e-02 -5.688957e-02 1.077494e-02
 2.942943e-01  1.063973e-01 -3.935344e-02 1.286909e-02
 2.952953e-01  1.228349e-01 -1.577706e-02 1.533733e-02
 2.962963e-01  1.343864e-01  1.342100e-02 1.823982e-02
 2.972973e-01  1.392997e-01  4.733631e-02 2.164514e-02
 2.982983e-01  1.359518e-01  8.454777e-02 2.563122e-02
 2.992993e-01  1.229949e-01  1.231203e-01 3.028635e-02
 3.003003e-01  9.951141e-02  1.606480e-01 3.571030e-02
 3.013013e-01  6.516636e-02  1.943420e-01 4.201546e-02
