# x psi_r psi_i psi2 
 0.000000e+00 -1.089099e-09  2.086450e-09 5.539411e-18
 1.911912e-01  4.296418e-09 -3.735985e-09 3.241680e-17
 1.921922e-01  1.536927e-09  2.959713e-09 1.112204e-17
 1.931932e-01  5.595035e-09 -3.186940e-09 4.146101e-17
 1.941942e-01  2.982638e-09  3.856157e-09 2.376608e-17
 1.951952e-01  7.246285e-09 -1.985162e-09 5.644951e-17
 1.961962e-01  4.757759e-09  5.583974e-09 5.381704e-17
 1.971972e-01  9.174823e-09  2.548125e-10 8.424231e-17
 1.981982e-01  6.715773e-09  8.591709e-09 1.189191e-16
 1.991992e-01  1.113968e-08  4.045425e-09 1.404579e-16
 2.002002e-01  8.493367e-09  1.345352e-08 2.531346e-16
 2.012012e-01  1.262316e-08  1.001530e-08 2.596503e-16
 2.022022e-01  9.381004e-09  2.083847e-08 5.222452e-16
 2.032032e-01  1.268156e-08  1.885103e-08 5.161833e-16
 2.042042e-01  8.154986e-09  3.141728e-08 1.053550e-15
 2.052052e-01  9.762159e-09  3.116020e-08 1.066258e-15
 2.062062e-01  2.883414e-09  4.567045e-08 2.094104e-15
 2.072072e-01  1.505608e-09  4.721212e-08 2.231251e-15
 2.082082e-01 -9.264112e-09  6.354903e-08 4.124302e-15
 2.092092e-01 -1.542257e-08  6.650620e-08 4.660930e-15
 2.102102e-01 -3.214252e-08  8.393789e-08 8.078711e-15
 2.112112e-01 -4.538986e-08  8.711808e-08 9.649799e-15
 2.122122e-01 -7.058918e-08  1.038765e-07 1.577315e-14
 2.132132e-01 -9.361434e-08  1.047910e-07 1.974481e-14
 2.142142e-01 -1.300542e-07  1.175221e-07 3.072554e-14
 2.152152e-01 -1.655534e-07  1.117823e-07 3.990320e-14
 2.162162e-01 -2.156841e-07  1.149027e-07 5.972226e-14
 2.172172e-01 -2.656129e-07  9.556017e-08 7.968194e-14
 2.182182e-01 -3.305838e-07  8.061641e-08 1.157847e-13
 2.192192e-01 -3.948869e-07  3.758732e-08 1.573484e-13
 2.202202e-01 -4.729603e-07 -7.193724e-09 2.237432e-13
 2.212212e-01 -5.476399e-07 -8.737153e-08 3.075432e-13
 2.222222e-01 -6.318952e-07 -1.770221e-07 4.306283e-13
 2.232232e-01 -7.063465e-07 -3.107089e-07 5.954653e-13
 2.242242e-01 -7.816630e-07 -4.624819e-07 8.248864e-13
 2.252252e-01 -8.353512e-07 -6.671836e-07 1.142946e-12
 2.262262e-01 -8.748634e-07 -8.979138e-07 1.571635e-12
 2.272272e-01 -8.736866e-07 -1.188572e-06 2.176031e-12
 2.282282e-01 -8.352417e-07 -1.509704e-06 2.976836e-12
 2.292292e-01 -7.283370e-07 -1.892279e-06 4.111196e-12
 2.302302e-01 -5.519777e-07 -2.301850e-06 5.603194e-12
 2.312312e-01 -2.702920e-07 -2.763575e-06 7.710404e-12
 2.322322e-01  1.215820e-07 -3.234668e-06 1.047786e-11
 2.332332e-01  6.629480e-07 -3.730739e-06 1.435792e-11
 2.342342e-01  1.360379e-06 -4.196566e-06 1.946180e-11
 2.352352e-01  2.253361e-06 -4.633911e-06 2.655077e-11
 2.362362e-01  3.345606e-06 -4.970764e-06 3.590158e-11
 2.372372e-01  4.670708e-06 -5.190927e-06 4.876123e-11
 2.382382e-01  6.221730e-06 -5.202013e-06 6.577086e-11
 2.392392e-01  8.016748e-06 -4.967259e-06 8.894192e-11
 2.402402e-01  1.002662e-05 -4.372753e-06 1.196541e-10
 2.412412e-01  1.224044e-05 -3.362107e-06 1.611321e-10
 2.422422e-01  1.459160e-05 -1.803559e-06 2.161676e-10
 2.432432e-01  1.702347e-05  3.716877e-07 2.899367e-10
 2.442442e-01  1.941424e-05  3.301738e-06 3.878142e-10
 2.452452e-01  2.164358e-05  7.051133e-06 5.181628e-10
 2.462462e-01  2.351718e-05  1.174176e-05 6.909267e-10
 2.472472e-01  2.483581e-05  1.740471e-05 9.197413e-10
 2.482482e-01  2.532116e-05  2.410938e-05 1.222423e-09
 2.492492e-01  2.468917e-05  3.180979e-05 1.621418e-09
 2.502503e-01  2.257959e-05  4.047205e-05 2.147825e-09
 2.512513e-01  1.863615e-05  4.991573e-05 2.838886e-09
 2.522523e-01  1.244248e-05  5.994104e-05 3.747744e-09
 2.532533e-01  3.612145e-06  7.016731e-05 4.936499e-09
 2.542543e-01 -8.266261e-06  8.016282e-05 6.494409e-09
 2.552553e-01 -2.352667e-05  8.928427e-05 8.525184e-09
 2.562563e-01 -4.246918e-05  9.681439e-05 1.117666e-08
 2.572573e-01 -6.524390e-05  1.018085e-04 1.462173e-08
 2.582583e-01 -9.188328e-05  1.032470e-04 1.910248e-08
 2.592593e-01 -1.221736e-04  9.989733e-05 2.490587e-08
 2.602603e-01 -1.556795e-04  9.049040e-05 3.242462e-08
 2.612613e-01 -1.916088e-04  7.360672e-05 4.213190e-08
 2.622623e-01 -2.288379e-04  4.788639e-05 5.465988e-08
 2.632633e-01 -2.657814e-04  1.194792e-05 7.078250e-08
 2.642643e-01 -3.004334e-04 -3.536146e-05 9.151064e-08
 2.652653e-01 -3.302606e-04 -9.500968e-05 1.180989e-07
 2.662663e-01 -3.522809e-04 -1.674881e-04 1.521541e-07
 2.672673e-01 -3.630043e-04 -2.528221e-04 1.956912e-07
 2.682683e-01 -3.585755e-04 -3.502471e-04 2.512494e-07
 2.692693e-01 -3.347905e-04 -4.582024e-04 3.220342e-07
 2.702703e-01 -2.873305e-04 -5.740010e-04 4.120360e-07
 2.712713e-01 -2.118786e-04 -6.938398e-04 5.263062e-07
 2.722723e-01 -1.044654e-04 -8.125060e-04 6.710791e-07
 2.732733e-01  3.830159e-05 -9.234585e-04 8.542427e-07
 2.742743e-01  2.187794e-04 -1.018632e-03 1.085476e-06
 2.752753e-01  4.379588e-04 -1.088660e-03 1.376989e-06
 2.762763e-01  6.949224e-04 -1.122851e-03 1.743712e-06
 2.772773e-01  9.864625e-04 -1.109628e-03 2.204381e-06
 2.782783e-01  1.306528e-03 -1.036751e-03 2.781868e-06
 2.792793e-01  1.645890e-03 -8.920418e-04 3.504693e-06
 2.802803e-01  1.991701e-03 -6.639000e-04 4.407635e-06
 2.812813e-01  2.327353e-03 -3.423329e-04 5.533763e-06
 2.822823e-01  2.632323e-03  8.023392e-05 6.935564e-06
 2.832833e-01  2.882415e-03  6.076669e-04 8.677578e-06
 2.842843e-01  3.050079e-03  1.239118e-03 1.083840e-05
 2.852853e-01  3.105231e-03  1.967623e-03 1.351400e-05
 2.862863e-01  3.016234e-03  2.779112e-03 1.682113e-05
 2.872873e-01  2.751441e-03  3.651170e-03 2.090147e-05
 2.882883e-01  2.280930e-03  4.552402e-03 2.592701e-05
 2.892893e-01  1.578799e-03  5.441757e-03 3.210533e-05
 2.902903e-01  6.255952e-04  6.268683e-03 3.968776e-05
 2.912913e-01 -5.888121e-04  6.973483e-03 4.897616e-05
 2.922923e-01 -2.062420e-03  7.488740e-03 6.033480e-05
 2.932933e-01 -3.778084e-03  7.741148e-03 7.419930e-05
 2.942943e-01 -5.700921e-03  7.654592e-03 9.109328e-05
 2.952953e-01 -7.775913e-03  7.153724e-03 1.116406e-04
 2.962963e-01 -9.926403e-03  6.168821e-03 1.365878e-04
